-N 1000 -k 15 -maxk 50 -mu 0.3 -om 3 -on 300
P:99.39%	R:47.67%
----------------------------
Node	P	R
835	47.37%	100.00%
961	43.75%	100.00%
33	100.00%	100.00%
286	42.86%	100.00%
594	63.64%	100.00%
971	46.88%	100.00%
974	28.12%	100.00%
978	51.52%	100.00%
34	60.00%	100.00%
133	16.67%	100.00%
601	30.00%	100.00%
929	19.23%	100.00%
35	100.00%	100.00%
757	86.67%	100.00%
820	77.78%	100.00%
914	68.00%	100.00%
957	64.29%	100.00%
36	80.00%	100.00%
651	25.00%	100.00%
705	7.69%	100.00%
772	60.00%	100.00%
986	58.82%	100.00%
968	45.16%	100.00%
1000	13.51%	100.00%
38	40.00%	100.00%
494	50.00%	100.00%
676	58.33%	100.00%
893	17.39%	100.00%
988	24.14%	100.00%
39	83.33%	100.00%
342	20.00%	100.00%
650	0.00%	0
775	62.50%	100.00%
884	69.57%	100.00%
962	62.50%	100.00%
993	57.14%	100.00%
40	40.00%	100.00%
208	100.00%	100.00%
557	27.27%	100.00%
618	50.00%	100.00%
819	26.32%	100.00%
870	28.57%	75.00%
916	32.00%	100.00%
960	25.81%	100.00%
41	50.00%	100.00%
389	71.43%	100.00%
604	27.27%	100.00%
735	57.14%	100.00%
813	66.67%	100.00%
848	52.63%	100.00%
877	22.73%	100.00%
946	24.14%	100.00%
42	40.00%	100.00%
296	42.86%	100.00%
572	55.56%	100.00%
654	45.45%	100.00%
740	12.50%	100.00%
759	60.00%	100.00%
921	11.54%	100.00%
998	22.50%	100.00%
43	60.00%	100.00%
627	20.00%	100.00%
809	52.63%	100.00%
44	66.67%	100.00%
712	64.29%	100.00%
812	56.25%	100.00%
45	80.00%	100.00%
197	80.00%	100.00%
314	57.14%	100.00%
415	80.00%	100.00%
442	50.00%	100.00%
477	57.14%	100.00%
883	47.83%	100.00%
46	0.00%	0.00%
440	0.00%	0.00%
492	25.00%	100.00%
873	27.27%	100.00%
940	25.93%	100.00%
47	66.67%	100.00%
68	66.67%	100.00%
96	80.00%	100.00%
358	85.71%	100.00%
394	71.43%	100.00%
872	40.91%	90.00%
950	25.00%	100.00%
371	42.86%	100.00%
455	0.00%	0
910	25.00%	100.00%
170	16.67%	100.00%
915	23.08%	100.00%
50	66.67%	100.00%
59	80.00%	100.00%
153	83.33%	100.00%
306	80.00%	100.00%
319	0.00%	0
507	75.00%	100.00%
51	60.00%	100.00%
190	16.67%	100.00%
949	63.33%	100.00%
990	55.56%	100.00%
52	25.00%	100.00%
237	80.00%	100.00%
484	22.22%	100.00%
855	52.63%	100.00%
944	22.22%	100.00%
53	33.33%	100.00%
269	66.67%	100.00%
400	62.50%	100.00%
640	88.89%	100.00%
647	58.33%	100.00%
730	66.67%	100.00%
861	23.81%	100.00%
54	20.00%	100.00%
412	62.50%	100.00%
753	35.71%	100.00%
965	26.67%	100.00%
970	51.61%	100.00%
55	40.00%	100.00%
629	36.36%	100.00%
698	46.15%	100.00%
888	22.73%	100.00%
947	20.69%	100.00%
56	100.00%	100.00%
679	66.67%	100.00%
733	61.54%	100.00%
765	56.25%	100.00%
57	16.67%	100.00%
537	11.11%	100.00%
58	100.00%	100.00%
176	57.14%	100.00%
278	57.14%	100.00%
345	85.71%	100.00%
615	54.55%	100.00%
628	50.00%	100.00%
717	57.14%	100.00%
458	0.00%	0
60	33.33%	100.00%
298	28.57%	100.00%
566	20.00%	100.00%
584	30.00%	100.00%
979	28.12%	100.00%
61	33.33%	100.00%
86	66.67%	100.00%
291	85.71%	100.00%
339	28.57%	100.00%
543	60.00%	100.00%
749	35.71%	100.00%
62	40.00%	100.00%
597	54.55%	100.00%
885	27.27%	100.00%
913	52.17%	100.00%
63	20.00%	100.00%
732	0.00%	0
997	11.76%	100.00%
644	72.73%	100.00%
65	0.00%	0
500	70.00%	100.00%
635	20.00%	100.00%
638	50.00%	100.00%
951	38.46%	100.00%
66	80.00%	100.00%
552	80.00%	100.00%
681	66.67%	100.00%
715	76.92%	100.00%
787	58.82%	100.00%
868	52.38%	100.00%
832	25.00%	100.00%
964	40.62%	100.00%
83	66.67%	100.00%
348	28.57%	100.00%
69	80.00%	100.00%
637	66.67%	100.00%
692	83.33%	100.00%
70	100.00%	100.00%
456	44.44%	100.00%
853	68.42%	100.00%
889	57.14%	100.00%
892	45.45%	100.00%
959	41.38%	100.00%
71	66.67%	100.00%
185	66.67%	100.00%
728	26.67%	100.00%
878	68.18%	100.00%
948	68.97%	100.00%
72	20.00%	100.00%
843	47.37%	100.00%
880	54.55%	100.00%
980	31.25%	100.00%
73	40.00%	100.00%
395	57.14%	100.00%
756	43.75%	100.00%
842	31.58%	100.00%
933	42.31%	100.00%
74	20.00%	100.00%
75	66.67%	100.00%
505	33.33%	100.00%
827	44.44%	100.00%
903	43.48%	100.00%
975	22.58%	100.00%
76	60.00%	100.00%
770	68.75%	100.00%
822	22.22%	100.00%
824	70.59%	100.00%
952	18.75%	100.00%
77	20.00%	100.00%
797	27.78%	100.00%
879	75.00%	100.00%
78	83.33%	100.00%
390	50.00%	100.00%
953	58.62%	100.00%
79	40.00%	100.00%
91	80.00%	100.00%
397	25.00%	100.00%
763	62.50%	100.00%
80	66.67%	100.00%
803	64.71%	100.00%
854	78.95%	100.00%
898	56.52%	100.00%
934	57.69%	100.00%
81	80.00%	100.00%
337	83.33%	100.00%
631	63.64%	100.00%
823	61.11%	100.00%
922	25.00%	100.00%
82	100.00%	100.00%
280	85.71%	100.00%
524	44.44%	100.00%
810	31.25%	100.00%
84	20.00%	100.00%
137	16.67%	100.00%
435	12.50%	100.00%
592	66.67%	100.00%
607	30.00%	100.00%
85	50.00%	100.00%
408	60.00%	100.00%
973	29.03%	100.00%
143	0.00%	0.00%
588	72.73%	100.00%
87	40.00%	100.00%
368	50.00%	100.00%
405	28.57%	100.00%
493	44.44%	100.00%
936	29.63%	100.00%
451	55.56%	100.00%
724	61.54%	100.00%
89	80.00%	100.00%
355	71.43%	100.00%
514	77.78%	100.00%
675	30.77%	100.00%
794	52.94%	100.00%
886	25.00%	100.00%
894	50.00%	100.00%
90	16.67%	100.00%
138	80.00%	100.00%
261	0.00%	0
476	25.00%	100.00%
648	27.27%	100.00%
677	8.33%	50.00%
365	87.50%	100.00%
750	73.33%	100.00%
905	56.52%	100.00%
932	66.67%	100.00%
92	50.00%	100.00%
292	33.33%	100.00%
341	50.00%	100.00%
663	63.64%	100.00%
664	58.33%	100.00%
93	100.00%	100.00%
799	52.94%	100.00%
94	80.00%	100.00%
97	80.00%	100.00%
312	71.43%	100.00%
938	25.00%	100.00%
108	60.00%	100.00%
966	60.00%	100.00%
421	100.00%	100.00%
560	70.00%	100.00%
901	63.64%	100.00%
98	80.00%	100.00%
334	71.43%	100.00%
467	71.43%	100.00%
536	55.56%	100.00%
723	42.86%	100.00%
906	21.74%	100.00%
99	60.00%	100.00%
603	63.64%	100.00%
621	36.36%	100.00%
769	37.50%	100.00%
989	18.92%	100.00%
100	0.00%	0.00%
283	33.33%	100.00%
784	86.67%	100.00%
101	40.00%	100.00%
851	47.37%	100.00%
891	54.55%	100.00%
995	45.95%	100.00%
102	60.00%	100.00%
145	80.00%	100.00%
758	60.00%	100.00%
800	22.22%	100.00%
103	0.00%	0
653	16.67%	66.67%
780	23.53%	100.00%
792	52.94%	100.00%
104	83.33%	100.00%
501	44.44%	100.00%
551	55.56%	100.00%
707	84.62%	100.00%
767	66.67%	100.00%
875	72.73%	100.00%
105	20.00%	100.00%
900	54.55%	100.00%
106	80.00%	100.00%
107	66.67%	100.00%
555	50.00%	100.00%
927	53.85%	100.00%
367	28.57%	100.00%
404	62.50%	100.00%
109	0.00%	0.00%
126	80.00%	100.00%
301	16.67%	100.00%
801	27.78%	100.00%
926	26.92%	100.00%
310	0.00%	0.00%
363	50.00%	100.00%
840	61.11%	100.00%
111	50.00%	100.00%
321	57.14%	100.00%
381	62.50%	100.00%
450	37.50%	100.00%
485	33.33%	100.00%
619	40.00%	100.00%
867	22.73%	100.00%
112	60.00%	100.00%
235	66.67%	100.00%
671	50.00%	100.00%
113	100.00%	100.00%
205	0.00%	0
633	60.00%	100.00%
852	73.68%	100.00%
114	100.00%	100.00%
115	33.33%	100.00%
513	66.67%	100.00%
116	50.00%	100.00%
279	60.00%	100.00%
293	60.00%	100.00%
332	60.00%	100.00%
511	33.33%	100.00%
117	0.00%	0
670	36.36%	100.00%
678	63.64%	100.00%
118	80.00%	100.00%
589	77.78%	100.00%
119	33.33%	100.00%
520	55.56%	100.00%
558	44.44%	100.00%
196	50.00%	100.00%
302	71.43%	100.00%
945	21.43%	100.00%
121	40.00%	100.00%
378	50.00%	100.00%
517	11.11%	50.00%
122	50.00%	100.00%
124	60.00%	100.00%
132	40.00%	100.00%
123	0.00%	0.00%
364	71.43%	100.00%
502	33.33%	100.00%
386	0.00%	0
125	50.00%	100.00%
372	62.50%	100.00%
661	45.45%	100.00%
719	23.08%	100.00%
253	0.00%	0.00%
127	100.00%	100.00%
655	9.09%	100.00%
128	40.00%	100.00%
129	0.00%	0.00%
155	20.00%	100.00%
553	22.22%	100.00%
697	15.38%	66.67%
130	80.00%	100.00%
177	83.33%	100.00%
316	71.43%	100.00%
320	85.71%	100.00%
499	44.44%	100.00%
131	0.00%	0.00%
200	42.86%	100.00%
142	60.00%	100.00%
688	58.33%	100.00%
384	14.29%	100.00%
134	0.00%	0.00%
233	50.00%	100.00%
303	16.67%	100.00%
424	42.86%	100.00%
841	73.68%	100.00%
136	60.00%	100.00%
540	55.56%	100.00%
330	71.43%	100.00%
308	14.29%	100.00%
139	16.67%	100.00%
225	14.29%	100.00%
140	66.67%	100.00%
271	85.71%	100.00%
141	60.00%	100.00%
836	25.00%	100.00%
849	42.11%	100.00%
882	54.55%	100.00%
327	42.86%	100.00%
535	66.67%	100.00%
144	100.00%	100.00%
323	42.86%	100.00%
194	66.67%	100.00%
317	66.67%	100.00%
782	29.41%	100.00%
146	75.00%	100.00%
754	53.33%	100.00%
774	50.00%	100.00%
147	40.00%	100.00%
148	80.00%	100.00%
149	40.00%	100.00%
198	66.67%	100.00%
617	63.64%	100.00%
699	33.33%	100.00%
150	33.33%	100.00%
563	60.00%	100.00%
825	29.41%	100.00%
847	47.37%	100.00%
151	80.00%	100.00%
596	36.36%	100.00%
703	8.33%	100.00%
865	28.57%	100.00%
152	100.00%	100.00%
475	88.89%	100.00%
352	57.14%	100.00%
859	30.00%	100.00%
154	50.00%	100.00%
227	33.33%	100.00%
356	25.00%	100.00%
399	50.00%	100.00%
779	11.76%	100.00%
920	21.74%	100.00%
156	33.33%	100.00%
260	40.00%	100.00%
564	80.00%	100.00%
157	100.00%	100.00%
248	100.00%	100.00%
795	58.82%	100.00%
158	0.00%	0.00%
578	70.00%	100.00%
581	50.00%	100.00%
582	80.00%	100.00%
834	29.41%	100.00%
159	80.00%	100.00%
165	57.14%	100.00%
425	75.00%	100.00%
746	33.33%	100.00%
160	0.00%	0.00%
668	30.00%	100.00%
161	100.00%	100.00%
179	66.67%	100.00%
710	64.29%	100.00%
768	31.25%	100.00%
162	40.00%	100.00%
169	33.33%	100.00%
163	16.67%	100.00%
714	69.23%	100.00%
164	100.00%	100.00%
436	57.14%	100.00%
741	46.67%	100.00%
369	100.00%	100.00%
591	80.00%	100.00%
166	0.00%	0
620	80.00%	100.00%
881	60.87%	100.00%
167	50.00%	100.00%
515	33.33%	100.00%
928	24.00%	100.00%
168	66.67%	100.00%
508	44.44%	100.00%
786	52.94%	100.00%
804	64.71%	100.00%
821	50.00%	100.00%
184	16.67%	100.00%
876	61.90%	100.00%
902	20.83%	100.00%
172	42.86%	100.00%
729	26.67%	100.00%
992	29.73%	100.00%
173	66.67%	100.00%
548	44.44%	100.00%
576	50.00%	100.00%
658	83.33%	100.00%
745	31.25%	100.00%
818	26.32%	100.00%
174	80.00%	100.00%
495	37.50%	100.00%
674	41.67%	100.00%
700	41.67%	100.00%
175	66.67%	100.00%
923	23.08%	100.00%
226	50.00%	100.00%
178	50.00%	100.00%
215	85.71%	100.00%
243	83.33%	100.00%
463	22.22%	100.00%
503	50.00%	100.00%
546	50.00%	100.00%
925	23.08%	100.00%
180	80.00%	100.00%
727	64.29%	100.00%
181	66.67%	100.00%
622	36.36%	100.00%
871	55.00%	100.00%
183	83.33%	100.00%
423	85.71%	100.00%
742	60.00%	100.00%
276	14.29%	100.00%
605	63.64%	100.00%
609	72.73%	100.00%
354	83.33%	100.00%
359	50.00%	100.00%
486	22.22%	100.00%
187	83.33%	100.00%
506	22.22%	100.00%
188	33.33%	100.00%
583	50.00%	100.00%
189	14.29%	50.00%
890	27.27%	100.00%
191	83.33%	100.00%
326	100.00%	100.00%
939	53.85%	100.00%
192	40.00%	100.00%
533	62.50%	100.00%
193	66.67%	100.00%
528	33.33%	100.00%
512	66.67%	100.00%
523	70.00%	100.00%
361	71.43%	100.00%
199	80.00%	100.00%
230	33.33%	100.00%
419	62.50%	100.00%
472	50.00%	100.00%
598	50.00%	100.00%
866	52.38%	100.00%
259	16.67%	100.00%
815	27.78%	100.00%
201	0.00%	0
469	62.50%	100.00%
202	60.00%	100.00%
373	50.00%	100.00%
398	37.50%	100.00%
850	25.00%	100.00%
203	16.67%	100.00%
473	0.00%	0.00%
204	66.67%	100.00%
482	87.50%	100.00%
702	23.08%	100.00%
459	0.00%	0.00%
206	66.67%	100.00%
672	27.27%	100.00%
207	14.29%	100.00%
532	30.00%	100.00%
209	80.00%	100.00%
273	100.00%	100.00%
743	53.85%	100.00%
210	71.43%	100.00%
343	57.14%	100.00%
586	30.00%	100.00%
701	66.67%	100.00%
211	66.67%	100.00%
716	61.54%	100.00%
212	83.33%	100.00%
738	30.77%	100.00%
214	71.43%	100.00%
219	80.00%	100.00%
300	57.14%	100.00%
580	80.00%	100.00%
630	100.00%	100.00%
216	100.00%	100.00%
496	55.56%	100.00%
659	81.82%	100.00%
218	28.57%	100.00%
642	72.73%	100.00%
457	87.50%	100.00%
220	83.33%	100.00%
222	33.33%	100.00%
447	55.56%	100.00%
223	80.00%	100.00%
550	77.78%	100.00%
224	16.67%	100.00%
462	57.14%	100.00%
474	75.00%	100.00%
519	66.67%	100.00%
287	14.29%	100.00%
443	40.00%	100.00%
228	83.33%	100.00%
570	70.00%	100.00%
229	16.67%	100.00%
322	28.57%	100.00%
231	66.67%	100.00%
304	57.14%	100.00%
448	44.44%	100.00%
465	62.50%	100.00%
232	0.00%	0
375	100.00%	100.00%
257	66.67%	100.00%
234	42.86%	100.00%
242	83.33%	100.00%
336	33.33%	100.00%
734	53.85%	100.00%
236	80.00%	100.00%
282	85.71%	100.00%
616	80.00%	100.00%
814	55.56%	100.00%
452	66.67%	100.00%
593	62.50%	100.00%
238	16.67%	100.00%
739	73.33%	100.00%
239	28.57%	100.00%
240	16.67%	100.00%
539	10.00%	100.00%
680	23.08%	100.00%
241	40.00%	100.00%
410	57.14%	100.00%
760	60.00%	100.00%
344	83.33%	100.00%
245	80.00%	100.00%
406	62.50%	100.00%
857	55.00%	100.00%
246	100.00%	100.00%
299	28.57%	100.00%
846	63.16%	100.00%
247	57.14%	100.00%
634	60.00%	100.00%
249	50.00%	100.00%
478	50.00%	100.00%
793	35.29%	100.00%
250	50.00%	100.00%
329	42.86%	100.00%
471	62.50%	100.00%
798	33.33%	100.00%
251	83.33%	100.00%
382	37.50%	100.00%
561	70.00%	100.00%
639	63.64%	100.00%
254	50.00%	100.00%
690	58.33%	100.00%
255	0.00%	0
256	50.00%	100.00%
657	50.00%	100.00%
416	0.00%	0
498	50.00%	100.00%
706	76.92%	100.00%
258	16.67%	100.00%
773	25.00%	100.00%
764	80.00%	100.00%
262	0.00%	0.00%
409	50.00%	100.00%
263	60.00%	100.00%
431	100.00%	100.00%
265	0.00%	0
652	33.33%	100.00%
266	42.86%	100.00%
267	37.50%	100.00%
360	62.50%	100.00%
645	36.36%	100.00%
682	90.91%	100.00%
270	0.00%	0
649	70.00%	100.00%
666	75.00%	100.00%
272	66.67%	100.00%
811	35.29%	100.00%
274	57.14%	100.00%
909	30.43%	100.00%
275	42.86%	100.00%
315	16.67%	100.00%
387	37.50%	100.00%
771	64.71%	100.00%
673	80.00%	100.00%
526	40.00%	100.00%
284	33.33%	100.00%
744	66.67%	100.00%
454	75.00%	100.00%
288	57.14%	100.00%
289	71.43%	100.00%
534	77.78%	100.00%
449	62.50%	100.00%
781	56.25%	100.00%
294	83.33%	100.00%
295	40.00%	100.00%
324	33.33%	100.00%
755	56.25%	100.00%
541	12.50%	100.00%
374	100.00%	100.00%
527	55.56%	100.00%
305	71.43%	100.00%
307	0.00%	0
309	0.00%	0
559	70.00%	100.00%
311	100.00%	100.00%
377	12.50%	100.00%
413	62.50%	100.00%
401	62.50%	100.00%
625	33.33%	100.00%
318	85.71%	100.00%
509	66.67%	100.00%
656	66.67%	100.00%
328	42.86%	100.00%
641	27.27%	100.00%
606	0.00%	0
518	33.33%	100.00%
331	0.00%	0.00%
333	57.14%	100.00%
718	61.54%	100.00%
335	66.67%	100.00%
376	75.00%	100.00%
338	28.57%	100.00%
340	85.71%	100.00%
407	40.00%	100.00%
468	33.33%	100.00%
346	85.71%	100.00%
529	55.56%	100.00%
686	30.77%	100.00%
349	14.29%	100.00%
350	14.29%	100.00%
351	25.00%	100.00%
353	71.43%	100.00%
466	37.50%	100.00%
554	50.00%	100.00%
411	71.43%	100.00%
362	50.00%	100.00%
414	85.71%	100.00%
565	88.89%	100.00%
685	75.00%	100.00%
579	30.00%	100.00%
370	0.00%	0.00%
439	75.00%	100.00%
379	100.00%	100.00%
417	50.00%	100.00%
612	66.67%	100.00%
380	62.50%	100.00%
383	50.00%	100.00%
684	30.77%	100.00%
667	36.36%	100.00%
573	100.00%	100.00%
549	37.50%	100.00%
388	25.00%	100.00%
391	25.00%	100.00%
479	77.78%	100.00%
393	57.14%	100.00%
445	62.50%	100.00%
726	23.08%	100.00%
751	43.75%	100.00%
521	30.00%	100.00%
585	0.00%	0
489	77.78%	100.00%
574	18.18%	100.00%
418	85.71%	100.00%
420	25.00%	100.00%
571	88.89%	100.00%
713	76.92%	100.00%
427	42.86%	100.00%
433	37.50%	100.00%
683	75.00%	100.00%
437	25.00%	100.00%
562	77.78%	100.00%
441	62.50%	100.00%
444	62.50%	100.00%
691	75.00%	100.00%
542	55.56%	100.00%
747	71.43%	100.00%
547	75.00%	100.00%
669	45.45%	100.00%
460	37.50%	100.00%
623	54.55%	100.00%
481	37.50%	100.00%
483	44.44%	100.00%
796	58.82%	100.00%
490	22.22%	100.00%
497	33.33%	100.00%
602	36.36%	100.00%
721	23.08%	100.00%
516	36.36%	100.00%
575	70.00%	100.00%
632	60.00%	100.00%
545	66.67%	100.00%
863	23.81%	100.00%
611	30.00%	100.00%
568	66.67%	100.00%
